Date,Duration,d15min,d30min,d45min,d1h,d2h,d3h,d4h,d6h,d8h,d12h,d24h
2013-06-01,0.0,69.0,100.0,115.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
2013-06-02,0.0,27.0,32.0,33.0,35.0,64.0,96.0,117.0,123.0,123.0,179.0,240.0
2013-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,0.0,5.0,7.0,9.0,12.0,19.0,26.0,28.0,41.0,45.0,45.0,45.0
2013-06-08,0.0,14.0,20.0,24.0,29.0,43.0,50.0,56.0,64.0,69.0,72.0,102.0
2013-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,61.0
2013-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-11,13.0,18.0,32.0,43.0,54.0,87.0,118.0,143.0,176.0,206.0,260.0,312.0
2013-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2013-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-16,0.0,9.0,17.0,23.0,31.0,55.0,69.0,82.0,102.0,102.0,102.0,102.0
2013-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,102.0,102.0
2013-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-22,0.0,10.0,15.0,18.0,23.0,37.0,53.0,67.0,81.0,85.0,113.0,119.0
2013-06-24,0.0,16.0,21.0,26.0,29.0,34.0,36.0,36.0,36.0,36.0,36.0,65.0
2013-06-25,0.0,34.0,40.0,40.0,40.0,42.0,42.0,42.0,44.0,44.0,44.0,78.0
2013-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,44.0,44.0
2013-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,0.0,24.0,45.0,60.0,74.0,92.0,102.0,121.0,145.0,162.0,172.0,174.0
2013-06-29,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,29.0,176.0
2013-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2014-05-03,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0
2014-05-04,0.0,25.0,42.0,50.0,60.0,66.0,68.0,75.0,83.0,97.0,116.0,183.0
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-09,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2014-05-10,0.0,7.0,11.0,15.0,18.0,35.0,45.0,60.0,72.0,72.0,72.0,72.0
2014-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
2014-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-13,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2014-05-14,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2014-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-16,0.0,16.0,29.0,37.0,40.0,65.0,85.0,105.0,121.0,139.0,195.0,198.0
2014-05-17,30.0,27.0,46.0,58.0,67.0,118.0,164.0,191.0,252.0,286.0,324.0,388.0
2014-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
2014-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-25,0.0,35.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
2014-05-26,0.0,9.0,12.0,19.0,21.0,21.0,21.0,27.0,38.0,38.0,38.0,42.0
2014-05-27,0.0,18.0,29.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,60.0,70.0
2014-05-28,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,41.0
2014-05-30,0.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2014-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-04,0.0,16.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
2014-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2014-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-07,0.0,18.0,31.0,45.0,56.0,64.0,69.0,72.0,84.0,89.0,89.0,89.0
2014-07-08,0.0,15.0,28.0,40.0,51.0,62.0,62.0,62.0,62.0,62.0,81.0,89.0
2014-07-09,0.0,0.0,0.0,0.0,0.0,0.0,40.0,62.0,62.0,62.0,62.0,62.0
2014-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-13,0.0,26.0,36.0,45.0,49.0,52.0,52.0,52.0,98.0,98.0,98.0,98.0
2014-07-15,0.0,7.0,12.0,12.0,16.0,18.0,18.0,18.0,18.0,18.0,21.0,21.0
2014-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-23,13.0,34.0,41.0,48.0,48.0,54.0,60.0,98.0,113.0,113.0,113.0,113.0
2014-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-27,0.0,37.0,45.0,49.0,49.0,52.0,68.0,83.0,92.0,92.0,92.0,92.0
2014-07-28,0.0,7.0,12.0,15.0,18.0,27.0,41.0,47.0,64.0,74.0,83.0,92.0
2014-07-29,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,20.0,42.0,77.0,83.0
2014-07-30,0.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2014-07-31,0.0,40.0,63.0,76.0,83.0,120.0,122.0,122.0,122.0,122.0,122.0,127.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-02,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-05-03,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0
2015-05-04,0.0,3.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2015-05-05,0.0,2.0,2.0,2.0,2.0,2.0,3.0,8.0,8.0,10.0,10.0,10.0
2015-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-09,55.0,72.0,72.0,72.0,72.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,84.0,84.0,84.0
2015-05-12,0.0,26.0,52.0,52.0,52.0,54.0,69.0,71.0,71.0,72.0,90.0,183.0
2015-05-14,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-19,0.0,0.0,0.0,0.0,64.0,67.0,70.0,90.0,90.0,90.0,90.0,90.0
2015-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-22,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-05-23,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-05-24,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-05-25,0.0,17.0,34.0,42.0,49.0,80.0,101.0,138.0,164.0,177.0,188.0,190.0
2015-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
2015-05-28,0.0,26.0,26.0,30.0,30.0,30.0,30.0,30.0,48.0,48.0,48.0,48.0
2015-05-29,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,22.0,50.0
2015-05-30,0.0,14.0,14.0,17.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
2015-05-31,0.0,6.0,9.0,9.0,13.0,25.0,25.0,27.0,45.0,50.0,53.0,53.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-02,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-03,257.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2015-09-04,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2015-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2015-09-08,0.0,0.0,0.0,0.0,0.0,0.0,132.0,155.0,155.0,155.0,155.0,155.0
2015-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-10,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0
2015-09-11,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,12.0
2015-09-12,30.0,6.0,11.0,15.0,19.0,32.0,41.0,50.0,60.0,60.0,60.0,64.0
2015-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-18,0.0,3.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2015-09-19,0.0,57.0,72.0,78.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-09-20,0.0,2.0,2.0,2.0,2.0,2.0,62.0,92.0,100.0,100.0,100.0,100.0
2015-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
2015-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-28,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0
2016-05-01,0.0,24.0,29.0,33.0,38.0,58.0,68.0,72.0,78.0,83.0,83.0,83.0
2016-05-02,0.0,3.0,6.0,8.0,11.0,13.0,42.0,63.0,75.0,80.0,83.0,94.0
2016-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-07,0.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0
2016-05-08,0.0,11.0,19.0,28.0,36.0,57.0,78.0,78.0,78.0,83.0,90.0,92.0
2016-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
2016-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-13,0.0,10.0,18.0,28.0,34.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2016-05-16,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
2016-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,0.0,4.0,4.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2016-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,42.0
2016-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-05,0.0,31.0,56.0,70.0,92.0,139.0,143.0,165.0,252.0,283.0,283.0,283.0
2016-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0
2016-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-18,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-22,0.0,18.0,33.0,44.0,58.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
2016-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
2016-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-27,0.0,13.0,19.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
2016-06-28,0.0,17.0,34.0,37.0,37.0,37.0,40.0,70.0,70.0,70.0,70.0,78.0
2016-06-29,0.0,5.0,8.0,10.0,10.0,10.0,37.0,37.0,70.0,70.0,70.0,80.0
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
2016-07-01,0.0,15.0,26.0,32.0,32.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
2016-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,38.0,38.0
2016-07-03,0.0,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0
2016-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-09,13.0,17.0,33.0,45.0,54.0,64.0,72.0,95.0,95.0,116.0,159.0,159.0
2016-07-10,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,76.0,159.0
